"1";"AGUJA PUNTA ROMA";"5";"0.1";"5";"0.48";"PROESCOLAR";"0.095";"5";"0.1235";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"2";"BOLA ENSARTAR/CUENTAS #20(100)";"300";"0.0269";"5";"7.67";"PROESCOLAR";"0.025555";"300";"0.0332215";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"3";"BORRADOR BL. 621 NATARAJ (100)";"100";"0.0491";"5";"4.66";"PROESCOLAR";"0.046645";"75";"0.1";"0000-00-00 00:00:00";"2016-05-18 11:58:49";"A"
"4";"BORRADOR PIZARRA UNI. MADERA";"12";"0.312";"5";"3.56";"PROESCOLAR";"0.2964";"12";"0.6";"0000-00-00 00:00:00";"2016-05-21 20:15:37";"A"
"5";"CARPETA LISTADO 30H";"12";"1.5618";"5";"17.8";;"1.48371";"12";"1.92882";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"6";"CARPETA PORTAFOLIO LIGA 13 DIVISIONES";"10";"3.3263";"5";"31.6";"PROESCOLAR";"3.15999";"10";"4.10798";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"7";"CARPETA TRANSPARENTE OFICIO";"30";"0.4051";"5";"11.55";"PROESCOLAR";"0.384845";"30";"0.500299";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"8";"CARTULINA HILOS A4 200gr";"100";"0.0525";"5";"4.99";"PROESCOLAR";"0.049875";"100";"0.0648375";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"9";"CARTULINA NEGRA INEN A4";"50";"0.0369";"5";"1.75";"PROESCOLAR";"0.035055";"50";"0.05";"0000-00-00 00:00:00";"2016-05-18 12:00:52";"A"
"10";"CARTULINA ROJA INEN A4";"50";"0.0438";"5";"2.08";"PROESCOLAR";"0.04161";"50";"0.1";"0000-00-00 00:00:00";"2016-05-18 12:02:06";"A"
"11";"CHENILLAS";"24";"0.02";"0";"0.48";"TEMPORADA";"0.02";"24";"0.026";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"12";"CINTA SCOHT 18mm X 36 Y";"12";"0.1542";"5";"1.76";;"0.14649";"12";"0.25";"0000-00-00 00:00:00";"2016-05-18 12:00:23";"A"
"13";"CONTRATO ARRIENDO-COMPRA-TRABAJO";"150";"0.03";"5";"4.28";"PROESCOLAR";"0.0285";"150";"0.03705";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"14";"CORRECTOR BESTERPLUMA 7ML";"12";"0.5048";"5";"5.75";"PROESCOLAR";"0.47956";"12";"0.623428";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"15";"CUADERNO 100H ACADEMICO ESCRIBE (C 1 2 4)";"12";"1.0149";"5";"11.57";;"0.964155";"12";"1.2534";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"16";"CUADERNO 100H COSIDO ESCRIBE(C 1 2 4)";"12";"0.9494";"5";"10.82";"PROESCOLAR";"0.90193";"12";"1.17251";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"17";"CUADERNO 100H JUNIOR ESPIRAL (C 1 2 4)";"24";"0.6275";"5";"14.31";"PROESCOLAR";"0.596125";"24";"0.774962";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"18";"CUADERNO 30H JUNIOR ESPIRAL (C 1 2 4)";"15";"0.4359";"5";"6.21";"PROESCOLAR";"0.414105";"15";"0.538337";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
